
Дата,Кал ( ккал),Жир( г),Н/жир( г),Углев( г),Клетч( г),Сахар( г),Белк( г),Натри( мг),Холес( мг),Калий( мг)
 Обед,690,"14,25",,"91,5",,,45,,,
  Степь Агрохолдинг Гречка,480,"3,75",,"91,5",,,18,,,
   150 г
  Пава Пава Фарш Нежный Охлажденный,210,"10,5",,0,,,27,,,
   1 1/2 x 100g (150 г)
 Ужин,488,"11,6",,60,,,34,,,
  Селяночка Рис Круглозёрный Шлифованный,264,"0,4",,60,,,"5,2",,,
   80 г
  Пава Пава Фарш Нежный Охлажденный,224,"11,2",,0,,,"28,8",,,
   160 г
 Перекус/Другое,422,"20,37","0,919","23,08","13,21","0,39","38,86",313,0,66
  Грецкие Орехи,98,"9,78","0,919","2,06",1,"0,39","2,28",0,0,66
   15 г
"  не Молоко Овсяное Молоко Классическое 3,2%",207,"10,02",,"20,34","12,21",,"9,39",313,,
   313 мл
  Bombbar Casein,117,"0,57",,"0,68",,,"27,19",,,
   34 г

"четверг, марта 6, 2025",2611,"61,73","3,624","338,67","54,07","48,84","173,84","1708,02",145,1513
 Завтрак,591,"13,59","0,19","95,65","27,4","18,13","20,15","271,7",,801
  Ясно Солнышко Овсяные Хлопья #2,220,"4,06",,"34,8","5,8",,"7,54",,,
   58 г
  Ого Отруби Ржаные,59,"0,44","0,04","8,8","9,57","0,13","2,86","0,2",,264
   22 г
  Пятерочка Банан,134,"0,45","0,15","34,5","1,5",18,"1,65","1,5",,537
   150 г
"  не Молоко Овсяное Молоко Классическое 3,2%",178,"8,64",,"17,55","10,53",,"8,1",270,,
   270 мл
 Обед,539,"3,5","0,825",60,0,0,"62,92",162,145,638
  Селяночка Рис Круглозёрный Шлифованный,264,"0,4",,60,,,"5,2",,,
   80 г
  Куриное Филе,275,"3,1","0,825",0,0,0,"57,72",162,145,638
   250 г
 Ужин,547,"10,5",,"72,7","5,9",,"38,9",,,
  Пава Пава Фарш Нежный Охлажденный,182,"9,1",,0,,,"23,4",,,
   130 г
  Макфа Спирали Цельнозерновые,365,"1,4",,"72,7","5,9",,"15,5",,,
   100 г
 Перекус/Другое,934,"34,14","2,609","110,32","20,77","30,71","51,87","1274,32",0,74
"  не Молоко Овсяное Молоко Классическое 3,2%",207,"10,02",,"20,34","12,21",,"9,39",313,,
   313 мл
  Bombbar Casein,117,"0,57",,"0,68",,,"27,19",,,
   34 г
  Грецкие Орехи,98,"9,78","0,919","2,06",1,"0,39","2,28",0,0,66
   15 г
  Магнит Банан,134,"0,15","0,15","32,7","3,9",18,"2,25",,,
   150 г
  Natty's Арахисовая Паста Кранчи,110,"8,82","0,9","3,78","1,26",0,"4,32","0,32",,
   18 г
  Harry's Сандвичный Хлеб Пшеничный,222,"4,8","0,64","38,4","2,4",,"6,4",960,,
"   2 x 1 ломтик, 80 г"
  Мёд,46,0,0,"12,36",0,"12,32","0,04",1,0,8
   15 г

"пятница, марта 7, 2025",1772,"58,8","10,813","187,95","20,7","20,81","121,86","2459,33",1040,922
 Завтрак,423,"30,9","8,588","5,87","1,2","4,37","29,22",1088,953,540
  Помидоры,18,"0,2","0,046","3,92","1,2","2,63","0,88",5,0,237
   100 г
  Жареное Яйцо,405,"30,7","8,542","1,95",0,"1,74","28,34",1083,953,303
   209 г
 Обед,,,,,,,,,,
 Ужин,565,"3,06","0,495","88,8",0,0,"43,04",98,87,382
  Куриное Филе,165,"1,86","0,495",0,0,0,"34,64",98,87,382
   150 г
  Макфа Рис Длиннозерный,400,"1,2",,"88,8",,,"8,4",,,
   120 г
 Перекус/Другое,784,"24,84","1,73","93,28","19,5","16,44","49,6","1273,33",,
"  не Молоко Овсяное Молоко Классическое 3,2%",207,"10,02",,"20,34","12,21",,"9,39",313,,
   313 мл
